"subID","block","cueName","cueIdx","congImgIdx","RT","sliderValue","cueConfidence","confRT","trueCue","imgIdx_subjective","subjectiveCue","subjectiveCongCue"
32,1,"orange",1,1,NA,25,NA,0.360628917,0.8,1,0.75,0.75
32,1,"green",3,NA,NA,71,2,1.568819875,0.5,2,0.71,0.71
32,1,"purple",2,2,NA,85,3,1.317124208,0.8,2,0.85,0.85
33,1,"yellow",1,1,NA,50,1,2.734680208,0.8,NA,0.5,0.5
33,1,"red",3,NA,NA,50,2,2.0658325,0.5,NA,0.5,NA
33,1,"blue",2,2,NA,50,2,2.490772875,0.8,NA,0.5,0.5
35,1,"yellow",2,2,33.0991784580001,75,NA,0.585095458001888,0.8,2,0.75,0.75
35,1,"red",3,NA,14.1475680000003,60,3,0.686447750002117,0.5,2,0.6,0.6
35,1,"blue",1,1,15.3116183329985,15,4,1.09102379099932,0.8,1,0.85,0.85
36,1,"yellow",1,1,18.191428416998,20,3,2.23679179199826,0.8,1,0.8,0.8
36,1,"red",3,NA,10.8257353749941,80,NA,2.23679179199826,0.5,2,0.8,0.8
36,1,"blue",2,2,12.4226080840017,60,2,0.411729750005179,0.8,2,0.6,0.6
37,1,"orange",1,1,6.33332720799808,50,2,2.09703683300177,0.8,NA,0.5,0.5
37,1,"purple",2,2,15.476313332998,72,2,1.49522891700326,0.8,2,0.72,0.72
37,1,"green",3,NA,1.78522070899635,50,3,2.37451512499683,0.5,NA,0.5,NA
38,1,"orange",1,1,6.79869220800174,15,4,3.02093566699477,0.8,1,0.85,0.85
38,1,"purple",3,NA,5.81327941699419,45,2,1.08612525000353,0.5,1,0.55,0.55
38,1,"green",2,2,6.73973475000093,85,4,2.71971633300564,0.8,2,0.85,0.85
39,1,"yellow",1,1,18.3349920000037,27,2,2.4520357500005,0.8,1,0.73,0.73
39,1,"red",3,NA,11.066186541997,31,2,1.64926920799189,0.5,1,0.69,0.69
39,1,"blue",2,2,6.55450220899365,87,4,2.18040041600761,0.8,2,0.87,0.87
40,1,"yellow",3,NA,11.888267916991,50,2,3.02283429099771,0.5,NA,0.5,NA
40,1,"blue",1,1,7.09566254100355,25,2,2.65077079199546,0.8,1,0.75,0.75
40,1,"red",2,2,6.44492791700759,90,4,1.42853550000291,0.8,2,0.9,0.9
41,1,"red",1,1,12.7165800410003,37,1,2.06616091600154,0.8,1,0.63,0.63
41,1,"blue",3,NA,8.37544516699563,40,1,0.98061625000264,0.5,1,0.6,0.6
41,1,"yellow",2,2,8.1928068339912,90,3,2.4802503749961,0.8,2,0.9,0.9
42,1,"orange",1,1,21.1575913330016,47,2,1.90733958300552,0.8,1,0.53,0.53
42,1,"purple",3,NA,10.363978999987,60,2,1.82915674999822,0.5,2,0.6,0.6
42,1,"green",2,2,12.9418336249946,63,2,1.29022333401372,0.8,2,0.63,0.63
43,1,"blue",3,NA,13.1145844580024,70,2,2.07254162500612,0.5,2,0.7,0.7
43,1,"yellow",2,2,5.91305991698755,60,2,0.920667124999454,0.8,2,0.6,0.6
43,1,"red",1,1,7.58581195797888,30,3,1.30219583300641,0.8,1,0.7,0.7
44,1,"yellow",2,2,16.2877043749904,90,4,2.02086795799551,0.8,2,0.9,0.9
44,1,"blue",3,NA,7.79532645799918,0,4,1.61481816699961,0.5,1,1,1
44,1,"red",1,1,12.4246293749893,26,1,1.69464445798076,0.8,1,0.74,0.74
45,1,"yellow",1,1,5.51088120904751,29,3,3.0339627499925,0.8,1,0.71,0.71
45,1,"red",2,2,7.72729562496534,83,3,2.61169079196407,0.8,2,0.83,0.83
45,1,"blue",3,NA,4.76320816704538,18,3,1.64355445798719,0.5,1,0.82,0.82
46,1,"purple",2,2,17.8749156669946,80,3,2.63920358294854,0.8,2,0.8,0.8
46,1,"green",3,NA,15.6803976669908,29,2,1.96260641602566,0.5,1,0.71,0.71
46,1,"orange",1,1,9.94855070795165,20,3,1.49752124998486,0.8,1,0.8,0.8
47,1,"red",2,2,9.50159604201326,70,1,2.09893054200802,0.8,2,0.7,0.7
47,1,"yellow",1,1,12.7499252500129,45,3,1.31207166600507,0.8,1,0.55,0.55
47,1,"blue",3,NA,6.19498466700315,30,2,1.25355637498433,0.5,1,0.7,0.7
48,1,"yellow",3,NA,22.8697210419923,65,3,2.84078445803607,0.5,2,0.65,0.65
48,1,"red",2,2,19.3538307080162,90,3,1.94647812499898,0.8,2,0.9,0.9
48,1,"blue",1,1,12.7543673749897,10,4,1.4523036670289,0.8,1,0.9,0.9
49,1,"green",2,2,9.78724808304105,96,4,2.0566537079867,0.8,2,0.96,0.96
49,1,"orange",1,1,5.62342224997701,12,3,1.88966787501704,0.8,1,0.88,0.88
49,1,"purple",3,NA,7.21236445801333,85,2,1.00452387501718,0.5,2,0.85,0.85
50,1,"blue",3,NA,16.1755154159619,55,1,2.45481037499849,0.5,2,0.55,0.55
50,1,"red",1,1,14.6935634999536,20,3,1.75505124998745,0.8,1,0.8,0.8
50,1,"yellow",2,2,5.58131433406379,80,3,2.40335437504109,0.8,2,0.8,0.8
51,1,"green",3,NA,13.7526931250468,75,3,1.81499529210851,0.5,2,0.75,0.75
51,1,"purple",2,2,6.71039454219863,66,2,1.65053337486461,0.8,2,0.66,0.66
51,1,"orange",1,1,6.38101029209793,18,3,1.8898987499997,0.8,1,0.82,0.82
52,1,"purple",2,2,17.4394157920033,90,4,3.45157637493685,0.8,2,0.9,0.9
52,1,"green",3,NA,12.5289711658843,40,2,4.20101312501356,0.5,1,0.6,0.6
52,1,"orange",1,1,15.7797574170399,25,3,2.38844691682607,0.8,1,0.75,0.75
53,1,"red",2,2,16.8484407500364,75,3,1.88900141697377,0.8,2,0.75,0.75
